x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,4.0
14,4.0
15,5.0
16,7.0
17,7.0
18,7.0
19,11.0
20,16.0
21,21.0
22,22.0
23,22.0
24,22.0
25,24.0
26,24.0
27,40.0
28,40.0
29,74.0
30,84.0
31,94.0
32,110.0
33,110.0
34,120.0
35,170.0
36,174.0
37,237.0
38,273.0
39,281.0
40,299.0
41,349.0
42,367.0
43,423.0
44,444.0
45,484.0
46,521.0
47,555.0
48,607.0
49,665.0
50,714.0
51,784.0
52,840.0
53,906.0
54,933.0
55,996.0
56,1026.0
57,1092.0
58,1176.0
59,1279.0
60,1351.0
61,1463.0
62,1531.0
63,1703.0
64,1828.0
65,1939.0
66,2171.0
67,2335.0
68,2469.0
69,2704.0
70,2894.0
71,3224.0
72,3392.0
73,3563.0
74,3778.0
75,4033.0
76,4402.0
77,4687.0
78,4963.0
79,5226.0
80,5639.0
81,6053.0
82,6402.0
83,6664.0
84,7072.0
85,7653.0
86,8145.0
87,8676.0
88,9216.0
89,9998.0
90,10582.0
91,11173.0
92,11831.0
93,12456.0
94,13036.0
95,13659.0
96,14525.0
97,15205.0
98,15750.0
