x,y
0,2.0
1,10.0
2,12.0
3,23.0
4,33.0
5,38.0
6,42.0
7,51.0
8,55.0
9,59.0
10,64.0
11,70.0
12,76.0
13,89.0
14,104.0
15,123.0
16,146.0
17,174.0
18,186.0
19,197.0
20,212.0
21,223.0
22,243.0
23,259.0
24,277.0
25,304.0
26,333.0
27,361.0
28,377.0
29,383.0
30,400.0
31,409.0
32,416.0
33,433.0
34,446.0
35,467.0
36,475.0
37,494.0
38,518.0
39,539.0
40,548.0
41,562.0
42,584.0
43,609.0
44,634.0
45,663.0
46,678.0
47,712.0
48,726.0
49,736.0
50,750.0
51,766.0
52,773.0
53,782.0
54,789.0
55,795.0
56,803.0
57,820.0
58,832.0
59,842.0
60,850.0
61,856.0
62,868.0
63,872.0
64,876.0
65,880.0
66,898.0
67,916.0
68,933.0
69,946.0
70,948.0
71,949.0
72,964.0
73,969.0
74,981.0
75,989.0
76,998.0
77,1004.0
78,1029.0
79,1050.0
80,1076.0
81,1099.0
82,1122.0
83,1137.0
84,1143.0
