x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,3.0
7,5.0
8,12.0
9,12.0
10,17.0
11,17.0
12,19.0
13,20.0
14,20.0
15,20.0
16,24.0
17,26.0
18,37.0
19,48.0
20,54.0
21,60.0
22,74.0
23,87.0
24,90.0
25,139.0
26,201.0
27,230.0
28,264.0
29,302.0
30,367.0
31,409.0
32,454.0
33,511.0
34,584.0
35,716.0
36,847.0
37,986.0
38,1171.0
39,1251.0
40,1320.0
41,1423.0
42,1468.0
43,1572.0
44,1666.0
45,1761.0
46,1825.0
47,1914.0
48,1983.0
49,2070.0
50,2160.0
51,2268.0
52,2418.0
53,2534.0
54,2629.0
55,2718.0
56,2811.0
57,2910.0
58,3007.0
59,3127.0
60,3256.0
61,3382.0
62,3517.0
63,3649.0
64,3848.0
65,4006.0
66,4154.0
67,4295.0
68,4474.0
69,4648.0
70,4838.0
71,4997.0
72,5182.0
73,5369.0
74,5558.0
75,5723.0
76,5891.0
77,6067.0
78,6253.0
79,6442.0
80,6629.0
81,6821.0
82,7019.0
83,7201.0
84,7377.0
85,7542.0
86,7728.0
87,7918.0
88,8113.0
89,8306.0
90,8503.0
91,8697.0
92,8857.0
93,8997.0
94,9134.0
95,9267.0
96,9394.0
97,9513.0
