x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,2.0
15,39.0
16,39.0
17,53.0
18,75.0
19,88.0
20,113.0
21,133.0
22,164.0
23,188.0
24,224.0
25,267.0
26,308.0
27,334.0
28,370.0
29,376.0
30,390.0
31,428.0
32,439.0
33,466.0
34,501.0
35,525.0
36,545.0
37,564.0
38,583.0
39,601.0
40,601.0
41,638.0
42,646.0
43,659.0
44,673.0
45,673.0
46,696.0
47,704.0
48,713.0
49,717.0
50,717.0
51,723.0
52,723.0
53,731.0
54,738.0
55,738.0
56,743.0
57,743.0
58,743.0
59,745.0
60,745.0
61,747.0
62,748.0
63,750.0
64,751.0
65,751.0
66,752.0
67,752.0
68,754.0
69,755.0
70,755.0
71,758.0
72,760.0
73,761.0
74,761.0
75,761.0
76,761.0
77,761.0
78,761.0
79,762.0
80,762.0
81,762.0
82,762.0
83,762.0
84,763.0
85,763.0
86,763.0
87,763.0
88,764.0
89,764.0
90,764.0
91,765.0
