x,y
0,1.0
1,2.0
2,2.0
3,3.0
4,3.0
5,3.0
6,4.0
7,4.0
8,5.0
9,7.0
10,7.0
11,7.0
12,8.0
13,8.0
14,8.0
15,10.0
16,14.0
17,16.0
18,17.0
19,19.0
20,19.0
21,19.0
22,19.0
23,19.0
24,19.0
25,19.0
26,19.0
27,19.0
28,19.0
29,24.0
30,24.0
31,24.0
32,24.0
33,25.0
34,25.0
35,25.0
36,25.0
37,26.0
38,27.0
39,27.0
40,27.0
41,27.0
42,30.0
43,35.0
44,35.0
45,35.0
46,36.0
47,36.0
48,36.0
49,43.0
50,43.0
51,45.0
52,45.0
53,45.0
54,45.0
55,48.0
56,48.0
57,48.0
58,48.0
59,50.0
60,52.0
61,52.0
62,58.0
63,60.0
64,61.0
65,69.0
66,70.0
67,70.0
68,71.0
69,74.0
70,81.0
71,84.0
72,86.0
73,86.0
