x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,3.0
11,3.0
12,3.0
13,7.0
14,7.0
15,7.0
16,7.0
17,7.0
18,7.0
19,7.0
20,9.0
21,15.0
22,15.0
23,15.0
24,15.0
25,19.0
26,19.0
27,19.0
28,19.0
29,21.0
30,21.0
31,23.0
32,23.0
33,23.0
34,23.0
35,23.0
36,23.0
37,23.0
38,23.0
39,23.0
40,24.0
41,24.0
42,24.0
43,24.0
44,24.0
45,24.0
46,24.0
47,24.0
48,24.0
49,25.0
50,25.0
51,25.0
52,25.0
53,25.0
54,25.0
55,25.0
56,25.0
57,25.0
58,25.0
59,25.0
60,25.0
61,25.0
62,25.0
63,25.0
64,25.0
65,25.0
66,25.0
67,25.0
68,25.0
69,25.0
70,25.0
71,25.0
72,25.0
73,25.0
74,25.0
75,25.0
76,25.0
77,25.0
78,25.0
79,26.0
80,26.0
