x,y
0,1.0
1,1.0
2,1.0
3,2.0
4,8.0
5,12.0
6,12.0
7,17.0
8,19.0
9,19.0
10,31.0
11,34.0
12,45.0
13,56.0
14,68.0
15,79.0
16,97.0
17,128.0
18,158.0
19,266.0
20,301.0
21,387.0
22,387.0
23,502.0
24,589.0
25,690.0
26,745.0
27,820.0
28,1054.0
29,1054.0
30,1133.0
31,1265.0
32,1451.0
33,1451.0
34,1554.0
35,1628.0
36,1715.0
37,1795.0
38,1975.0
39,1975.0
40,2142.0
41,2208.0
42,2277.0
43,2443.0
44,2571.0
45,2669.0
46,2758.0
47,2839.0
48,2941.0
49,3031.0
50,3144.0
51,3435.0
52,3607.0
53,3780.0
54,3892.0
55,4003.0
56,4127.0
57,4285.0
58,4428.0
59,4532.0
60,4681.0
61,4783.0
62,4887.0
63,5020.0
64,5208.0
65,5371.0
66,5611.0
67,5776.0
68,6034.0
69,6278.0
70,6563.0
71,6879.0
72,7134.0
73,7479.0
74,7805.0
75,8068.0
76,8371.0
77,8809.0
78,9283.0
79,9931.0
80,10649.0
81,11353.0
82,12076.0
83,12628.0
84,13228.0
85,13933.0
86,14702.0
87,15419.0
88,16214.0
89,16851.0
90,17415.0
