x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,4.0
12,8.0
13,18.0
14,26.0
15,52.0
16,78.0
17,84.0
18,115.0
19,136.0
20,160.0
21,194.0
22,235.0
23,249.0
24,265.0
25,290.0
26,329.0
27,407.0
28,424.0
29,482.0
30,532.0
31,571.0
32,663.0
33,736.0
34,770.0
35,822.0
36,833.0
37,853.0
38,881.0
39,921.0
40,937.0
41,967.0
42,1013.0
43,1039.0
44,1067.0
45,1111.0
46,1159.0
47,1201.0
48,1248.0
49,1291.0
50,1339.0
51,1401.0
52,1473.0
53,1523.0
54,1596.0
55,1677.0
56,1746.0
57,1808.0
58,1867.0
59,1932.0
60,2066.0
61,2148.0
62,2273.0
63,2386.0
64,2507.0
65,2619.0
66,2782.0
67,2884.0
68,3029.0
69,3175.0
70,3313.0
71,3392.0
72,3538.0
73,3718.0
74,3860.0
75,4044.0
76,4283.0
77,4472.0
78,4823.0
79,5041.0
80,5271.0
81,5606.0
82,5928.0
83,6302.0
84,6661.0
85,7113.0
86,7402.0
87,7774.0
88,8216.0
89,8676.0
90,8927.0
91,9282.0
92,9492.0
