x,y
0,4.0
1,5.0
2,5.0
3,6.0
4,9.0
5,9.0
6,12.0
7,12.0
8,12.0
9,13.0
10,13.0
11,14.0
12,15.0
13,15.0
14,15.0
15,15.0
16,15.0
17,15.0
18,15.0
19,15.0
20,15.0
21,15.0
22,15.0
23,15.0
24,15.0
25,15.0
26,15.0
27,15.0
28,15.0
29,15.0
30,15.0
31,15.0
32,15.0
33,15.0
34,25.0
35,27.0
36,30.0
37,39.0
38,52.0
39,55.0
40,60.0
41,63.0
42,76.0
43,91.0
44,107.0
45,128.0
46,128.0
47,200.0
48,250.0
49,297.0
50,377.0
51,452.0
52,568.0
53,681.0
54,791.0
55,1071.0
56,1549.0
57,1682.0
58,2044.0
59,2364.0
60,2810.0
61,3143.0
62,3640.0
63,3984.0
64,4361.0
65,4559.0
66,4862.0
67,5116.0
68,5330.0
69,5550.0
70,5687.0
71,5797.0
72,5895.0
73,6010.0
74,6108.0
75,6215.0
76,6303.0
77,6315.0
78,6351.0
79,6415.0
80,6440.0
81,6462.0
82,6522.0
83,6568.0
84,6610.0
85,6623.0
86,6645.0
87,6652.0
88,6662.0
89,6677.0
90,6694.0
91,6714.0
92,6721.0
93,6744.0
94,6752.0
95,6766.0
96,6778.0
97,6799.0
98,6822.0
99,6847.0
100,6875.0
101,6894.0
102,6913.0
103,6918.0
104,6939.0
105,6948.0
106,6970.0
107,6980.0
108,6989.0
109,7019.0
110,7035.0
111,7044.0
112,7054.0
113,7068.0
114,7072.0
115,7081.0
116,7095.0
117,7099.0
118,7114.0
119,7114.0
120,7126.0
121,7139.0
122,7150.0
123,7165.0
124,7184.0
125,7192.0
126,7202.0
127,7221.0
