x,y
0,2.0
1,2.0
2,3.0
3,3.0
4,9.0
5,14.0
6,18.0
7,21.0
8,29.0
9,41.0
10,55.0
11,79.0
12,104.0
13,131.0
14,182.0
15,246.0
16,302.0
17,504.0
18,655.0
19,860.0
20,1018.0
21,1332.0
22,1646.0
23,2013.0
24,2388.0
25,2814.0
26,3582.0
27,4474.0
28,5283.0
29,5588.0
30,6909.0
31,7657.0
32,8271.0
33,8788.0
34,9618.0
35,10180.0
36,10711.0
37,11129.0
38,11524.0
39,11781.0
40,12051.0
41,12297.0
42,12639.0
43,12942.0
44,13244.0
45,13555.0
46,13806.0
47,13945.0
48,14041.0
49,14226.0
50,14336.0
51,14476.0
52,14595.0
53,14671.0
54,14749.0
55,14795.0
56,14873.0
57,14925.0
58,15002.0
59,15071.0
60,15148.0
61,15225.0
62,15274.0
63,15357.0
64,15402.0
65,15452.0
66,15531.0
67,15558.0
68,15597.0
69,15621.0
70,15650.0
71,15684.0
72,15752.0
73,15774.0
74,15833.0
75,15871.0
76,15882.0
77,15961.0
78,15997.0
79,16058.0
80,16109.0
81,16201.0
82,16242.0
83,16269.0
84,16321.0
85,16353.0
86,16404.0
87,16436.0
88,16486.0
89,16503.0
90,16539.0
91,16557.0
92,16591.0
93,16628.0
94,16655.0
95,16685.0
96,16731.0
97,16733.0
