x,y
0,3.0
1,3.0
2,3.0
3,3.0
4,6.0
5,6.0
6,9.0
7,9.0
8,9.0
9,11.0
10,11.0
11,11.0
12,15.0
13,15.0
14,23.0
15,28.0
16,28.0
17,28.0
18,44.0
19,44.0
20,53.0
21,65.0
22,72.0
23,87.0
24,93.0
25,122.0
26,165.0
27,182.0
28,209.0
29,273.0
30,298.0
31,359.0
32,400.0
33,443.0
34,521.0
35,584.0
36,641.0
37,717.0
38,822.0
39,926.0
40,991.0
41,1058.0
42,1098.0
43,1148.0
44,1197.0
45,1253.0
46,1283.0
47,1340.0
48,1373.0
49,1398.0
50,1436.0
51,1480.0
52,1518.0
53,1548.0
54,1592.0
55,1617.0
56,1645.0
57,1678.0
58,1717.0
59,1766.0
60,1804.0
61,1854.0
62,1894.0
63,1932.0
64,1984.0
65,2060.0
66,2127.0
67,2204.0
68,2279.0
69,2422.0
70,2519.0
71,2589.0
72,2693.0
73,2758.0
74,2879.0
75,2980.0
76,3138.0
77,3274.0
78,3387.0
79,3518.0
80,3631.0
81,3749.0
82,3855.0
83,3982.0
84,4122.0
85,4271.0
86,4403.0
87,4568.0
88,4759.0
89,4989.0
90,5246.0
91,5494.0
92,5662.0
