x,y
0,1.0
1,1.0
2,1.0
3,3.0
4,3.0
5,4.0
6,4.0
7,4.0
8,5.0
9,5.0
10,9.0
11,10.0
12,10.0
13,11.0
14,14.0
15,14.0
16,21.0
17,24.0
18,24.0
19,28.0
20,28.0
21,29.0
22,33.0
23,40.0
24,41.0
25,42.0
26,46.0
27,46.0
28,47.0
29,49.0
30,49.0
31,53.0
32,54.0
33,55.0
34,55.0
35,60.0
36,65.0
37,65.0
38,72.0
39,73.0
40,78.0
41,80.0
42,80.0
43,80.0
44,80.0
45,81.0
46,81.0
47,83.0
48,83.0
49,83.0
50,89.0
51,92.0
52,92.0
53,92.0
54,92.0
55,92.0
56,93.0
57,93.0
58,94.0
59,96.0
60,96.0
61,96.0
62,96.0
63,96.0
64,96.0
65,97.0
66,97.0
67,97.0
68,100.0
69,100.0
70,100.0
71,100.0
72,100.0
73,101.0
74,102.0
75,102.0
76,102.0
77,102.0
