x,y
0,1.0
1,23.0
2,33.0
3,33.0
4,36.0
5,41.0
6,47.0
7,49.0
8,49.0
9,52.0
10,55.0
11,60.0
12,85.0
13,85.0
14,95.0
15,110.0
16,195.0
17,195.0
18,195.0
19,210.0
20,214.0
21,214.0
22,228.0
23,256.0
24,278.0
25,285.0
26,305.0
27,334.0
28,377.0
29,392.0
30,419.0
31,458.0
32,466.0
33,476.0
34,499.0
35,515.0
36,567.0
37,569.0
38,643.0
39,672.0
40,688.0
41,700.0
42,756.0
43,811.0
44,823.0
45,887.0
46,925.0
47,1040.0
48,1136.0
49,1361.0
50,1528.0
51,1671.0
52,1700.0
53,1740.0
54,1773.0
55,1881.0
56,1907.0
57,1973.0
58,2027.0
59,2217.0
60,2518.0
61,2588.0
62,2647.0
63,2723.0
64,2811.0
65,2921.0
66,3040.0
67,3170.0
68,3284.0
69,3383.0
70,3533.0
71,3720.0
72,3934.0
73,4199.0
74,4444.0
75,4774.0
76,4941.0
77,5236.0
78,5531.0
79,5816.0
80,6198.0
81,6583.0
82,6747.0
83,6956.0
84,7184.0
85,7532.0
86,7888.0
87,8174.0
88,8414.0
89,8802.0
90,9138.0
91,9171.0
92,9366.0
93,9692.0
94,10052.0
95,10449.0
96,10793.0
97,11398.0
98,11871.0
