x,y
0,3.0
1,3.0
2,3.0
3,3.0
4,3.0
5,3.0
6,3.0
7,5.0
8,8.0
9,10.0
10,14.0
11,17.0
12,20.0
13,25.0
14,27.0
15,33.0
16,39.0
17,39.0
18,44.0
19,48.0
20,48.0
21,48.0
22,49.0
23,51.0
24,54.0
25,56.0
26,61.0
27,70.0
28,88.0
29,123.0
30,164.0
31,218.0
32,330.0
33,424.0
34,482.0
35,621.0
36,803.0
37,1012.0
38,1231.0
39,1572.0
40,1838.0
41,2144.0
42,2456.0
43,2948.0
44,3382.0
45,3772.0
46,4186.0
47,4689.0
48,4998.0
49,5416.0
50,5913.0
51,6462.0
52,7103.0
53,7667.0
54,8238.0
55,8790.0
56,9455.0
57,10143.0
58,10929.0
59,11719.0
60,12425.0
61,13134.0
62,13770.0
63,14657.0
64,15691.0
65,16660.0
66,17822.0
67,18863.0
68,20065.0
69,20995.0
70,22268.0
71,23870.0
72,25121.0
73,26738.0
74,28511.0
75,30205.0
76,32078.0
77,33610.0
78,35585.0
79,36751.0
80,38292.0
81,40321.0
82,42844.0
83,44608.0
84,47153.0
85,49534.0
