x,y
0,2.0
1,2.0
2,5.0
3,5.0
4,6.0
5,14.0
6,17.0
7,18.0
8,18.0
9,18.0
10,24.0
11,26.0
12,33.0
13,33.0
14,34.0
15,34.0
16,46.0
17,51.0
18,52.0
19,56.0
20,60.0
21,63.0
22,63.0
23,66.0
24,67.0
25,68.0
26,71.0
27,72.0
28,72.0
29,73.0
30,75.0
31,75.0
32,75.0
33,75.0
34,75.0
35,75.0
36,75.0
37,76.0
38,77.0
39,79.0
40,79.0
41,80.0
42,80.0
43,80.0
44,81.0
45,81.0
46,81.0
47,82.0
48,82.0
49,82.0
50,82.0
51,82.0
52,83.0
53,84.0
54,84.0
55,84.0
56,85.0
57,85.0
58,85.0
59,85.0
60,86.0
61,88.0
62,88.0
63,90.0
64,90.0
65,90.0
66,90.0
67,92.0
68,92.0
69,92.0
70,92.0
71,92.0
72,92.0
73,92.0
74,92.0
75,92.0
76,92.0
