x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,6.0
11,9.0
12,9.0
13,12.0
14,27.0
15,27.0
16,27.0
17,36.0
18,36.0
19,51.0
20,51.0
21,69.0
22,76.0
23,76.0
24,81.0
25,81.0
26,86.0
27,86.0
28,94.0
29,94.0
30,94.0
31,152.0
32,152.0
33,163.0
34,304.0
35,351.0
36,440.0
37,562.0
38,700.0
39,861.0
40,1066.0
41,1486.0
42,1981.0
43,2226.0
44,2578.0
45,2919.0
46,3281.0
47,3728.0
48,4204.0
49,4779.0
50,4779.0
51,4779.0
52,6264.0
53,6723.0
54,7281.0
55,8022.0
56,8773.0
57,9590.0
58,10463.0
59,11289.0
60,12208.0
61,13181.0
62,14027.0
63,14917.0
64,15828.0
65,16705.0
66,17489.0
67,18350.0
68,19255.0
69,20168.0
70,21101.0
71,22052.0
72,22973.0
73,23906.0
74,24873.0
75,25825.0
76,26772.0
77,27730.0
78,28681.0
79,29650.0
80,30572.0
81,31508.0
82,32426.0
83,33371.0
84,34303.0
85,35244.0
86,36198.0
87,37144.0
88,38059.0
89,38956.0
90,39858.0
91,40764.0
92,41658.0
93,42556.0
94,43403.0
