x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,2.0
27,8.0
28,13.0
29,23.0
30,50.0
31,109.0
32,169.0
33,200.0
34,239.0
35,267.0
36,314.0
37,314.0
38,559.0
39,689.0
40,886.0
41,1058.0
42,1243.0
43,1486.0
44,1795.0
45,2257.0
46,2815.0
47,3401.0
48,3743.0
49,4269.0
50,4937.0
51,6235.0
52,7284.0
53,9134.0
54,10836.0
55,11899.0
56,12775.0
57,13964.0
58,15348.0
59,16770.0
60,18431.0
61,19691.0
62,20814.0
63,22194.0
64,23403.0
65,24983.0
66,26667.0
67,28018.0
68,29647.0
69,30589.0
70,31119.0
71,33573.0
72,34809.0
73,36138.0
74,37183.0
75,38496.0
76,39983.0
77,40956.0
78,41889.0
79,42797.0
80,44293.0
81,45325.0
82,46134.0
83,46687.0
84,47334.0
85,47859.0
86,48519.0
87,49032.0
88,49517.0
89,49906.0
90,50267.0
91,50509.0
92,50781.0
93,51420.0
94,52011.0
95,52596.0
96,53081.0
97,53449.0
98,53779.0
99,53981.0
100,54288.0
101,54644.0
102,54989.0
103,55280.0
104,55559.0
105,55791.0
106,55983.0
107,56235.0
108,56511.0
109,56810.0
110,57092.0
111,57342.0
112,57455.0
113,57592.0
114,57849.0
115,58061.0
116,58186.0
117,58381.0
118,58517.0
