x,y
0,1.0
1,1.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,3.0
8,3.0
9,3.0
10,3.0
11,4.0
12,4.0
13,5.0
14,7.0
15,7.0
16,8.0
17,9.0
18,10.0
19,13.0
20,14.0
21,18.0
22,18.0
23,18.0
24,18.0
25,18.0
26,18.0
27,18.0
28,18.0
29,18.0
30,18.0
31,18.0
32,18.0
33,18.0
34,18.0
35,18.0
36,18.0
37,18.0
38,18.0
39,18.0
40,18.0
41,18.0
42,18.0
43,18.0
44,18.0
45,18.0
46,18.0
47,18.0
48,18.0
49,18.0
50,18.0
51,18.0
52,18.0
53,18.0
54,18.0
55,18.0
56,18.0
57,18.0
58,18.0
59,18.0
60,18.0
61,18.0
62,18.0
63,18.0
64,18.0
65,18.0
66,18.0
67,18.0
68,18.0
69,18.0
70,18.0
