x,y
0,1.0
1,1.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,5.0
8,6.0
9,6.0
10,6.0
11,6.0
12,6.0
13,6.0
14,6.0
15,9.0
16,13.0
17,13.0
18,16.0
19,16.0
20,22.0
21,26.0
22,26.0
23,26.0
24,26.0
25,35.0
26,35.0
27,35.0
28,35.0
29,35.0
30,35.0
31,35.0
32,35.0
33,35.0
34,35.0
35,54.0
36,54.0
37,54.0
38,54.0
39,54.0
40,54.0
41,64.0
42,64.0
43,64.0
44,64.0
45,64.0
46,90.0
47,90.0
48,90.0
49,96.0
50,96.0
51,96.0
52,140.0
53,242.0
54,284.0
55,319.0
56,319.0
57,327.0
58,327.0
59,339.0
60,339.0
61,339.0
62,339.0
63,339.0
64,130.0
65,130.0
66,135.0
67,135.0
68,135.0
69,191.0
70,191.0
71,208.0
72,210.0
73,210.0
74,224.0
75,224.0
76,232.0
77,243.0
