x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,3.0
22,3.0
23,4.0
24,4.0
25,4.0
26,4.0
27,5.0
28,5.0
29,5.0
30,5.0
31,5.0
32,5.0
33,5.0
34,5.0
35,5.0
36,5.0
37,5.0
38,5.0
39,5.0
40,5.0
41,5.0
42,5.0
43,5.0
44,5.0
45,5.0
46,6.0
47,6.0
48,7.0
49,7.0
50,7.0
51,7.0
52,7.0
53,7.0
54,7.0
55,7.0
56,7.0
57,7.0
58,7.0
59,7.0
60,7.0
61,7.0
62,7.0
63,7.0
64,7.0
65,7.0
66,9.0
67,11.0
68,15.0
69,20.0
70,21.0
71,21.0
72,21.0
73,21.0
74,21.0
75,21.0
76,21.0
77,21.0
78,24.0
79,24.0
80,27.0
81,27.0
82,28.0
83,31.0
84,31.0
85,33.0
86,43.0
87,43.0
