x,y
0,2.0
1,2.0
2,3.0
3,10.0
4,10.0
5,11.0
6,11.0
7,12.0
8,12.0
9,15.0
10,19.0
11,24.0
12,27.0
13,29.0
14,32.0
15,43.0
16,61.0
17,74.0
18,81.0
19,97.0
20,107.0
21,115.0
22,123.0
23,132.0
24,139.0
25,157.0
26,183.0
27,194.0
28,210.0
29,264.0
30,268.0
31,275.0
32,300.0
33,330.0
34,354.0
35,397.0
36,441.0
37,465.0
38,493.0
39,520.0
40,564.0
41,598.0
42,609.0
43,703.0
44,807.0
45,866.0
46,950.0
47,1014.0
48,1053.0
49,1110.0
50,1167.0
51,1229.0
52,1470.0
53,1594.0
54,1681.0
55,1802.0
56,1886.0
57,2081.0
58,2266.0
59,2437.0
60,2556.0
61,2831.0
62,2964.0
63,3148.0
64,3372.0
65,3577.0
66,3826.0
67,4088.0
68,4263.0
69,4481.0
70,4919.0
71,5187.0
72,5579.0
73,5915.0
74,6263.0
75,6660.0
76,7136.0
77,7768.0
78,8387.0
79,8731.0
80,9592.0
81,9982.0
82,10531.0
