x,y
0,2.0
1,2.0
2,3.0
3,3.0
4,3.0
5,5.0
6,7.0
7,11.0
8,13.0
9,18.0
10,24.0
11,25.0
12,26.0
13,38.0
14,63.0
15,89.0
16,93.0
17,126.0
18,136.0
19,166.0
20,176.0
21,191.0
22,237.0
23,258.0
24,323.0
25,368.0
26,420.0
27,459.0
28,533.0
29,579.0
30,624.0
31,654.0
32,674.0
33,764.0
34,804.0
35,858.0
36,901.0
37,946.0
38,1009.0
39,1037.0
40,1083.0
41,1110.0
42,1167.0
43,1214.0
44,1268.0
45,1285.0
46,1309.0
47,1342.0
48,1368.0
49,1413.0
50,1421.0
51,1486.0
52,1516.0
53,1565.0
54,1585.0
55,1677.0
56,1757.0
57,1781.0
58,1839.0
59,1857.0
60,1926.0
61,1946.0
62,1987.0
63,2027.0
64,2070.0
65,2090.0
66,2117.0
67,2141.0
68,2158.0
69,2181.0
70,2218.0
71,2236.0
72,2267.0
73,2290.0
74,2304.0
75,2321.0
76,2338.0
77,2350.0
78,2372.0
79,2391.0
80,2401.0
81,2406.0
82,2416.0
83,2435.0
84,2462.0
85,2485.0
86,2494.0
87,2510.0
88,2524.0
