x,y
0,1.0
1,1.0
2,1.0
3,2.0
4,2.0
5,2.0
6,2.0
7,4.0
8,4.0
9,13.0
10,13.0
11,20.0
12,25.0
13,31.0
14,38.0
15,52.0
16,151.0
17,151.0
18,162.0
19,200.0
20,321.0
21,372.0
22,621.0
23,793.0
24,1021.0
25,1546.0
26,1924.0
27,2247.0
28,2554.0
29,2985.0
30,3417.0
31,3904.0
32,4256.0
33,4579.0
34,5717.0
35,6836.0
36,8044.0
37,9056.0
38,10360.0
39,11130.0
40,12161.0
41,14034.0
42,16170.0
43,18092.0
44,19638.0
45,20727.0
46,22192.0
47,23430.0
48,25262.0
49,28320.0
50,30425.0
51,33682.0
52,36658.0
53,38654.0
54,40743.0
55,43079.0
56,45757.0
57,50036.0
58,54043.0
59,59324.0
60,63100.0
61,67446.0
62,73235.0
63,79685.0
64,87187.0
65,92202.0
66,97100.0
67,101826.0
68,108620.0
69,115455.0
70,126611.0
71,135773.0
72,146894.0
73,156061.0
74,162699.0
75,169594.0
76,178214.0
77,190137.0
78,203165.0
79,220291.0
80,233511.0
81,241080.0
82,255368.0
83,271885.0
84,291579.0
85,310087.0
86,330890.0
87,347398.0
88,363211.0
89,374898.0
90,391222.0
91,411821.0
92,438238.0
93,465166.0
94,498440.0
95,514849.0
96,526447.0
