x,y
0,1.0
1,1.0
2,11.0
3,11.0
4,37.0
5,40.0
6,50.0
7,54.0
8,56.0
9,68.0
10,75.0
11,78.0
12,83.0
13,88.0
14,91.0
15,104.0
16,109.0
17,114.0
18,115.0
19,120.0
20,126.0
21,127.0
22,129.0
23,131.0
24,133.0
25,134.0
26,135.0
27,135.0
28,135.0
29,135.0
30,135.0
31,135.0
32,136.0
33,136.0
34,136.0
35,136.0
36,136.0
37,136.0
38,136.0
39,136.0
40,137.0
41,138.0
42,138.0
43,138.0
44,138.0
45,138.0
46,138.0
47,138.0
48,138.0
49,138.0
50,138.0
51,138.0
52,138.0
53,138.0
54,138.0
55,138.0
56,138.0
57,138.0
58,139.0
59,141.0
60,141.0
61,141.0
62,141.0
63,141.0
64,141.0
65,141.0
66,141.0
67,141.0
68,141.0
69,141.0
70,141.0
71,141.0
72,141.0
73,141.0
74,141.0
75,141.0
76,141.0
77,141.0
78,141.0
79,141.0
80,141.0
81,141.0
82,141.0
83,141.0
84,141.0
