x,y
0,4.0
1,4.0
2,4.0
3,7.0
4,7.0
5,23.0
6,41.0
7,51.0
8,52.0
9,67.0
10,92.0
11,94.0
12,127.0
13,163.0
14,187.0
15,201.0
16,218.0
17,242.0
18,264.0
19,293.0
20,331.0
21,346.0
22,359.0
23,399.0
24,422.0
25,457.0
26,485.0
27,503.0
28,531.0
29,549.0
30,577.0
31,593.0
32,618.0
33,635.0
34,661.0
35,675.0
36,685.0
37,713.0
38,747.0
39,800.0
40,846.0
41,878.0
42,894.0
43,929.0
44,975.0
45,1024.0
46,1097.0
47,1234.0
48,1247.0
49,1300.0
50,1363.0
51,1399.0
52,1447.0
53,1506.0
54,1555.0
55,1594.0
56,1618.0
57,1652.0
58,1704.0
59,1778.0
60,1829.0
61,1872.0
62,1921.0
63,1965.0
64,1990.0
65,2023.0
66,2069.0
67,2100.0
68,2138.0
69,2175.0
70,2211.0
71,2235.0
72,2259.0
73,2292.0
74,2331.0
75,2372.0
76,2408.0
77,2427.0
78,2433.0
79,2443.0
80,2460.0
81,2477.0
82,2485.0
83,2499.0
84,2513.0
85,2519.0
