x,y
0,8.0
1,8.0
2,10.0
3,14.0
4,15.0
5,15.0
6,20.0
7,20.0
8,21.0
9,21.0
10,22.0
11,22.0
12,22.0
13,23.0
14,27.0
15,38.0
16,41.0
17,62.0
18,63.0
19,74.0
20,85.0
21,88.0
22,98.0
23,111.0
24,119.0
25,121.0
26,123.0
27,139.0
28,144.0
29,146.0
30,146.0
31,146.0
32,150.0
33,150.0
34,151.0
35,151.0
36,151.0
37,155.0
38,161.0
39,161.0
40,161.0
41,176.0
42,177.0
43,178.0
44,180.0
45,180.0
46,180.0
47,181.0
48,181.0
49,182.0
50,182.0
51,184.0
52,191.0
53,193.0
54,199.0
55,199.0
56,199.0
57,201.0
58,201.0
59,203.0
60,206.0
61,206.0
62,206.0
63,207.0
64,224.0
65,224.0
66,228.0
