x,y
0,1.0
1,3.0
2,3.0
3,3.0
4,3.0
5,4.0
6,4.0
7,5.0
8,5.0
9,6.0
10,6.0
11,6.0
12,6.0
13,6.0
14,6.0
15,7.0
16,7.0
17,7.0
18,7.0
19,7.0
20,7.0
21,7.0
22,8.0
23,8.0
24,10.0
25,11.0
26,56.0
27,56.0
28,56.0
29,58.0
30,61.0
31,67.0
32,68.0
33,73.0
34,82.0
35,88.0
36,90.0
37,106.0
38,109.0
39,114.0
40,114.0
41,121.0
42,122.0
43,152.0
44,165.0
45,175.0
46,186.0
47,191.0
48,218.0
49,230.0
50,236.0
51,246.0
52,260.0
53,267.0
54,289.0
55,315.0
56,326.0
57,328.0
58,328.0
59,328.0
60,335.0
61,349.0
62,356.0
63,362.0
64,371.0
65,380.0
66,390.0
67,390.0
68,390.0
69,390.0
70,405.0
71,421.0
72,435.0
73,458.0
