x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,2.0
42,2.0
43,2.0
44,3.0
45,3.0
46,5.0
47,7.0
48,7.0
49,7.0
50,33.0
51,35.0
52,37.0
53,51.0
54,53.0
55,84.0
56,87.0
57,91.0
58,96.0
59,96.0
60,99.0
61,99.0
62,103.0
63,107.0
64,109.0
65,109.0
66,110.0
67,114.0
68,114.0
69,114.0
70,114.0
71,115.0
72,117.0
73,119.0
74,119.0
75,120.0
76,122.0
77,122.0
78,122.0
79,122.0
80,122.0
81,122.0
82,122.0
83,122.0
84,122.0
85,122.0
86,122.0
87,122.0
88,122.0
89,122.0
90,122.0
91,122.0
92,122.0
93,122.0
94,122.0
95,122.0
96,122.0
97,122.0
98,122.0
99,122.0
100,122.0
101,122.0
102,122.0
103,122.0
104,122.0
105,122.0
106,122.0
107,122.0
108,122.0
109,122.0
110,122.0
111,122.0
112,122.0
113,122.0
114,122.0
115,123.0
116,123.0
117,124.0
118,124.0
119,124.0
120,124.0
121,124.0
122,124.0
123,124.0
124,125.0
125,125.0
126,125.0
