x,y
0,1.0
1,1.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,4.0
11,10.0
12,10.0
13,13.0
14,20.0
15,27.0
16,40.0
17,56.0
18,66.0
19,75.0
20,75.0
21,91.0
22,91.0
23,139.0
24,139.0
25,193.0
26,233.0
27,306.0
28,509.0
29,555.0
30,650.0
31,658.0
32,658.0
33,730.0
34,730.0
35,820.0
36,820.0
37,820.0
38,820.0
39,848.0
40,848.0
41,996.0
42,996.0
43,1017.0
44,1017.0
45,1163.0
46,1163.0
47,1163.0
48,1334.0
49,1430.0
50,1518.0
51,1621.0
52,1705.0
53,1705.0
54,1832.0
55,1832.0
56,1832.0
57,2077.0
58,2077.0
59,2104.0
60,2104.0
61,2265.0
62,2267.0
63,2267.0
64,2274.0
65,2579.0
66,2689.0
67,2689.0
68,2800.0
69,2954.0
70,3105.0
71,3105.0
72,3105.0
73,3529.0
74,3529.0
75,3733.0
76,4288.0
77,4400.0
78,4400.0
79,4890.0
80,4890.0
81,5436.0
82,5436.0
83,5436.0
84,5436.0
85,5904.0
86,5904.0
87,6397.0
