x,y
0,1.0
1,1.0
2,2.0
3,2.0
4,2.0
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,5.0
11,5.0
12,7.0
13,7.0
14,7.0
15,7.0
16,7.0
17,7.0
18,7.0
19,7.0
20,7.0
21,7.0
22,8.0
23,8.0
24,8.0
25,8.0
26,9.0
27,9.0
28,9.0
29,10.0
30,11.0
31,11.0
32,13.0
33,14.0
34,20.0
35,24.0
36,27.0
37,30.0
38,33.0
39,37.0
40,49.0
41,54.0
42,64.0
43,77.0
44,79.0
45,108.0
46,117.0
47,193.0
48,198.0
49,252.0
50,415.0
51,478.0
52,657.0
53,800.0
54,943.0
55,1277.0
56,1469.0
57,2088.0
58,2790.0
59,3251.0
60,4042.0
61,4682.0
62,5576.0
63,6280.0
64,7398.0
65,8527.0
66,9560.0
67,11284.0
68,12437.0
69,12978.0
70,15756.0
71,16563.0
72,17872.0
73,19141.0
74,20654.0
75,22059.0
76,23316.0
77,24299.0
78,25680.0
79,27035.0
80,28209.0
81,30809.0
82,32814.0
83,34356.0
84,35633.0
85,37658.0
86,39402.0
87,41663.0
88,43299.0
89,44919.0
90,46371.0
91,48033.0
92,49616.0
93,51150.0
94,52865.0
95,54457.0
96,56343.0
97,57926.0
98,60504.0
99,61957.0
100,63215.0
101,64694.0
102,66201.0
103,67674.0
104,68918.0
105,70091.0
106,71264.0
107,72419.0
108,73568.0
109,74781.0
110,75959.0
111,77206.0
112,78332.0
113,79411.0
114,80493.0
115,81575.0
116,82742.0
117,83947.0
118,85151.0
119,86106.0
120,87119.0
121,88090.0
122,88989.0
123,89976.0
124,90909.0
125,91681.0
126,92479.0
127,93288.0
