x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,3.0
6,3.0
7,3.0
8,3.0
9,3.0
10,3.0
11,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,3.0
17,3.0
18,3.0
19,8.0
20,8.0
21,8.0
22,8.0
23,8.0
24,8.0
25,8.0
26,8.0
27,8.0
28,8.0
29,11.0
30,11.0
31,12.0
32,12.0
33,12.0
34,12.0
35,12.0
36,12.0
37,14.0
38,14.0
39,16.0
40,16.0
41,16.0
42,19.0
43,19.0
44,50.0
45,50.0
46,50.0
47,72.0
48,72.0
49,72.0
50,85.0
51,85.0
52,94.0
53,94.0
54,143.0
55,143.0
56,143.0
57,143.0
58,143.0
59,143.0
60,143.0
61,301.0
62,327.0
63,327.0
64,327.0
65,366.0
66,418.0
67,436.0
68,479.0
69,552.0
70,604.0
71,652.0
72,671.0
73,702.0
74,755.0
75,874.0
76,962.0
77,1011.0
78,1069.0
