x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,3.0
6,3.0
7,3.0
8,3.0
9,3.0
10,3.0
11,5.0
12,7.0
13,7.0
14,8.0
15,8.0
16,9.0
17,9.0
18,9.0
19,10.0
20,10.0
21,11.0
22,11.0
23,11.0
24,18.0
25,23.0
26,23.0
27,23.0
28,27.0
29,27.0
30,33.0
31,33.0
32,33.0
33,33.0
34,33.0
35,33.0
36,40.0
37,46.0
38,46.0
39,46.0
40,52.0
41,52.0
42,73.0
43,73.0
44,117.0
45,117.0
46,117.0
47,170.0
48,170.0
49,253.0
50,260.0
51,322.0
52,322.0
53,322.0
54,357.0
55,372.0
56,399.0
57,428.0
58,474.0
59,503.0
60,519.0
61,545.0
62,565.0
63,588.0
64,611.0
65,648.0
66,675.0
67,687.0
68,700.0
69,715.0
70,726.0
71,759.0
72,759.0
73,778.0
74,790.0
