x,y
0,1.0
1,1.0
2,4.0
3,4.0
4,4.0
5,8.0
6,8.0
7,13.0
8,23.0
9,23.0
10,43.0
11,61.0
12,74.0
13,155.0
14,201.0
15,238.0
16,238.0
17,434.0
18,537.0
19,632.0
20,746.0
21,922.0
22,1142.0
23,1306.0
24,1610.0
25,1909.0
26,2139.0
27,2449.0
28,2738.0
29,3031.0
30,3404.0
31,3737.0
32,4161.0
33,4471.0
34,4815.0
35,5116.0
36,5546.0
37,5972.0
38,6501.0
39,6927.0
40,7213.0
41,7525.0
42,7917.0
43,8273.0
44,8807.0
45,9252.0
46,9730.0
47,10088.0
48,10507.0
49,10832.0
50,11296.0
51,11812.0
52,12306.0
53,12858.0
54,13331.0
55,13813.0
56,14365.0
57,14885.0
58,16023.0
59,17008.0
60,18435.0
61,19663.0
62,20643.0
63,22016.0
64,23048.0
65,24581.0
66,25972.0
67,27219.0
68,28866.0
69,30063.0
70,31721.0
71,34381.0
72,37040.0
73,39542.0
74,41428.0
75,43781.0
76,46059.0
77,49579.0
78,53617.0
79,57581.0
80,61857.0
81,65393.0
82,69102.0
83,73997.0
84,77961.0
85,82289.0
86,86943.0
87,90638.0
88,94858.0
89,99688.0
90,105158.0
