x,y
0,548.0
1,643.0
2,920.0
3,1406.0
4,2075.0
5,2877.0
6,5509.0
7,6087.0
8,8141.0
9,9802.0
10,11891.0
11,16630.0
12,19716.0
13,23707.0
14,27440.0
15,30587.0
16,34110.0
17,36814.0
18,39829.0
19,42354.0
20,44386.0
21,44759.0
22,59895.0
23,66358.0
24,68413.0
25,70513.0
26,72434.0
27,74211.0
28,74619.0
29,75077.0
30,75550.0
31,77001.0
32,77022.0
33,77241.0
34,77754.0
35,78166.0
36,78600.0
37,78928.0
38,79356.0
39,79932.0
40,80136.0
41,80261.0
42,80386.0
43,80537.0
44,80690.0
45,80770.0
46,80823.0
47,80860.0
48,80887.0
49,80921.0
50,80932.0
51,80945.0
52,80977.0
53,81003.0
54,81033.0
55,81058.0
56,81102.0
57,81156.0
58,81250.0
59,81305.0
60,81435.0
61,81498.0
62,81591.0
63,81661.0
64,81782.0
65,81897.0
66,81999.0
67,82122.0
68,82198.0
69,82279.0
70,82361.0
71,82432.0
72,82511.0
73,82543.0
74,82602.0
75,82665.0
76,82718.0
77,82809.0
78,82883.0
79,82941.0
80,83014.0
81,83134.0
82,83213.0
83,83306.0
84,83356.0
85,83403.0
86,83760.0
87,83787.0
88,83805.0
89,83817.0
90,83853.0
91,83868.0
92,83884.0
93,83899.0
94,83909.0
95,83912.0
96,83918.0
97,83940.0
98,83944.0
99,83956.0
100,83959.0
101,83959.0
102,83964.0
103,83966.0
104,83968.0
105,83970.0
106,83975.0
107,83976.0
108,83990.0
109,84010.0
110,84011.0
111,84018.0
112,84024.0
113,84029.0
114,84038.0
115,84044.0
116,84054.0
117,84063.0
118,84063.0
119,84063.0
120,84063.0
121,84081.0
122,84084.0
123,84095.0
124,84102.0
125,84103.0
126,84106.0
127,84106.0
128,84123.0
129,84128.0
130,84146.0
131,84154.0
