x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,3.0
5,9.0
6,9.0
7,13.0
8,22.0
9,34.0
10,54.0
11,65.0
12,93.0
13,102.0
14,128.0
15,196.0
16,231.0
17,277.0
18,378.0
19,470.0
20,491.0
21,539.0
22,608.0
23,702.0
24,798.0
25,906.0
26,1065.0
27,1161.0
28,1267.0
29,1406.0
30,1485.0
31,1579.0
32,1780.0
33,2054.0
34,2223.0
35,2473.0
36,2709.0
37,2776.0
38,2852.0
39,2979.0
40,3105.0
41,3233.0
42,3439.0
43,3439.0
44,3792.0
45,3977.0
46,4149.0
47,4356.0
48,4561.0
49,4881.0
50,5142.0
51,5379.0
52,5597.0
53,5949.0
54,6207.0
55,6507.0
56,7006.0
57,7285.0
58,7668.0
59,7973.0
60,8613.0
61,8959.0
62,9456.0
63,10051.0
64,10495.0
65,11063.0
66,11613.0
67,12272.0
68,12930.0
69,13610.0
70,14216.0
71,14939.0
72,15574.0
73,16295.0
74,16935.0
75,17687.0
76,18330.0
77,19131.0
78,20177.0
79,21175.0
80,21981.0
81,23003.0
82,24104.0
83,24141.0
84,25406.0
85,26734.0
86,27219.0
87,29384.0
