x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,3.0
5,3.0
6,3.0
7,3.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.0
14,19.0
15,19.0
16,19.0
17,19.0
18,22.0
19,22.0
20,22.0
21,45.0
22,45.0
23,45.0
24,45.0
25,60.0
26,60.0
27,60.0
28,60.0
29,60.0
30,60.0
31,117.0
32,117.0
33,143.0
34,143.0
35,143.0
36,160.0
37,165.0
38,186.0
39,186.0
40,200.0
41,200.0
42,200.0
43,200.0
44,207.0
45,207.0
46,220.0
47,229.0
48,229.0
49,229.0
50,236.0
51,236.0
52,264.0
53,264.0
54,274.0
55,274.0
56,274.0
57,333.0
58,333.0
59,333.0
60,391.0
61,391.0
62,391.0
63,391.0
64,412.0
65,420.0
66,420.0
67,469.0
68,469.0
69,487.0
70,487.0
71,487.0
72,487.0
73,571.0
74,571.0
75,571.0
76,571.0
77,611.0
78,611.0
