x,y
0,1.0
1,1.0
2,2.0
3,2.0
4,2.0
5,2.0
6,3.0
7,4.0
8,14.0
9,18.0
10,23.0
11,30.0
12,36.0
13,45.0
14,48.0
15,51.0
16,51.0
17,65.0
18,65.0
19,81.0
20,98.0
21,109.0
22,134.0
23,134.0
24,154.0
25,154.0
26,161.0
27,180.0
28,180.0
29,180.0
30,215.0
31,223.0
32,234.0
33,235.0
34,241.0
35,254.0
36,267.0
37,287.0
38,307.0
39,327.0
40,332.0
41,350.0
42,359.0
43,377.0
44,394.0
45,416.0
46,442.0
47,459.0
48,471.0
49,491.0
50,572.0
51,604.0
52,674.0
53,674.0
54,682.0
55,705.0
56,797.0
57,863.0
58,937.0
59,937.0
60,991.0
61,1024.0
62,1102.0
63,1169.0
64,1242.0
65,1298.0
66,1455.0
67,1455.0
68,1538.0
69,1629.0
70,1731.0
71,1835.0
72,1945.0
73,2025.0
74,2141.0
75,2297.0
76,2403.0
77,2546.0
78,2660.0
79,2833.0
80,2966.0
81,3070.0
82,3195.0
