x,y
0,1.0
1,1.0
2,5.0
3,9.0
4,9.0
5,13.0
6,22.0
7,23.0
8,26.0
9,27.0
10,35.0
11,41.0
12,50.0
13,69.0
14,89.0
15,117.0
16,134.0
17,158.0
18,177.0
19,201.0
20,231.0
21,263.0
22,295.0
23,314.0
24,330.0
25,347.0
26,375.0
27,396.0
28,416.0
29,435.0
30,454.0
31,467.0
32,483.0
33,502.0
34,539.0
35,558.0
36,577.0
37,595.0
38,612.0
39,618.0
40,626.0
41,642.0
42,649.0
43,655.0
44,660.0
45,662.0
46,669.0
47,681.0
48,686.0
49,687.0
50,693.0
51,695.0
52,697.0
53,705.0
54,713.0
55,719.0
56,725.0
57,733.0
58,739.0
59,742.0
60,755.0
61,761.0
62,765.0
63,773.0
64,780.0
65,792.0
66,801.0
67,804.0
68,815.0
69,830.0
70,843.0
71,853.0
72,863.0
73,866.0
74,882.0
75,897.0
76,903.0
77,911.0
78,918.0
79,930.0
80,951.0
81,956.0
82,984.0
83,1000.0
84,1022.0
85,1047.0
86,1056.0
87,1084.0
