x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,5.0
7,6.0
8,9.0
9,9.0
10,14.0
11,14.0
12,25.0
13,73.0
14,80.0
15,96.0
16,101.0
17,101.0
18,165.0
19,168.0
20,179.0
21,190.0
22,194.0
23,218.0
24,245.0
25,261.0
26,323.0
27,349.0
28,384.0
29,444.0
30,444.0
31,533.0
32,574.0
33,626.0
34,638.0
35,638.0
36,654.0
37,688.0
38,801.0
39,847.0
40,847.0
41,916.0
42,952.0
43,1004.0
44,1077.0
45,1077.0
46,1150.0
47,1164.0
48,1183.0
49,1238.0
50,1275.0
51,1333.0
52,1362.0
53,1398.0
54,1432.0
55,1464.0
56,1516.0
57,1571.0
58,1602.0
59,1667.0
60,1700.0
61,1730.0
62,1857.0
63,1912.0
64,1971.0
65,2017.0
66,2061.0
67,2109.0
68,2119.0
69,2153.0
70,2231.0
71,2301.0
72,2341.0
73,2366.0
74,2376.0
75,2423.0
76,2477.0
77,2556.0
78,2641.0
79,2750.0
80,2799.0
81,2833.0
82,2951.0
