x,y
0,1.0
1,3.0
2,3.0
3,5.0
4,6.0
5,7.0
6,7.0
7,9.0
8,10.0
9,10.0
10,11.0
11,12.0
12,12.0
13,12.0
14,14.0
15,19.0
16,19.0
17,32.0
18,38.0
19,49.0
20,57.0
21,65.0
22,81.0
23,105.0
24,128.0
25,206.0
26,254.0
27,315.0
28,382.0
29,442.0
30,495.0
31,586.0
32,657.0
33,713.0
34,790.0
35,867.0
36,963.0
37,1011.0
38,1079.0
39,1126.0
40,1182.0
41,1222.0
42,1282.0
43,1343.0
44,1407.0
45,1495.0
46,1534.0
47,1600.0
48,1650.0
49,1704.0
50,1741.0
51,1791.0
52,1814.0
53,1832.0
54,1871.0
55,1881.0
56,1908.0
57,1950.0
58,1981.0
59,2009.0
60,2016.0
61,2030.0
62,2039.0
63,2047.0
64,2062.0
65,2076.0
66,2085.0
67,2088.0
68,2096.0
69,2101.0
70,2112.0
71,2119.0
72,2125.0
73,2161.0
74,2176.0
75,2187.0
76,2196.0
77,2207.0
78,2213.0
79,2221.0
80,2222.0
81,2224.0
82,2226.0
83,2228.0
84,2232.0
85,2234.0
86,2237.0
87,2243.0
88,2243.0
89,2244.0
90,2244.0
91,2244.0
92,2244.0
93,2245.0
94,2245.0
95,2246.0
96,2246.0
97,2246.0
