x,y
0,3.0
1,4.0
2,4.0
3,4.0
4,4.0
5,5.0
6,7.0
7,11.0
8,16.0
9,21.0
10,35.0
11,40.0
12,48.0
13,57.0
14,67.0
15,80.0
16,119.0
17,139.0
18,170.0
19,186.0
20,212.0
21,233.0
22,269.0
23,288.0
24,320.0
25,350.0
26,396.0
27,457.0
28,515.0
29,564.0
30,620.0
31,669.0
32,726.0
33,766.0
34,814.0
35,862.0
36,923.0
37,986.0
38,1035.0
39,1087.0
40,1137.0
41,1189.0
42,1235.0
43,1285.0
44,1337.0
45,1369.0
46,1389.0
47,1437.0
48,1467.0
49,1501.0
50,1537.0
51,1611.0
52,1649.0
53,1668.0
54,1685.0
55,1703.0
56,1729.0
57,1741.0
58,1754.0
59,1766.0
60,1783.0
61,1804.0
62,1810.0
63,1830.0
64,1840.0
65,1862.0
66,1872.0
67,1881.0
68,1887.0
69,1900.0
70,1908.0
71,1916.0
72,1931.0
73,1941.0
74,1947.0
75,1963.0
76,1974.0
77,1983.0
78,2005.0
79,2025.0
80,2045.0
81,2083.0
