x,y
0,2.0
1,3.0
2,6.0
3,6.0
4,14.0
5,26.0
6,26.0
7,33.0
8,46.0
9,49.0
10,67.0
11,67.0
12,84.0
13,95.0
14,116.0
15,124.0
16,132.0
17,146.0
18,162.0
19,179.0
20,214.0
21,230.0
22,262.0
23,320.0
24,356.0
25,396.0
26,426.0
27,446.0
28,465.0
29,494.0
30,526.0
31,564.0
32,595.0
33,616.0
34,633.0
35,662.0
36,695.0
37,715.0
38,735.0
39,750.0
40,761.0
41,767.0
42,772.0
43,784.0
44,790.0
45,795.0
46,804.0
47,810.0
48,817.0
49,822.0
50,837.0
51,843.0
52,850.0
53,857.0
54,864.0
55,872.0
56,874.0
57,878.0
58,883.0
59,889.0
60,891.0
61,892.0
62,898.0
63,901.0
64,903.0
65,905.0
66,907.0
67,910.0
68,914.0
69,916.0
70,917.0
71,918.0
72,922.0
73,923.0
74,927.0
75,927.0
76,935.0
77,937.0
78,939.0
79,939.0
80,941.0
81,942.0
82,944.0
83,944.0
84,949.0
