x,y
0,3.0
1,3.0
2,5.0
3,8.0
4,12.0
5,18.0
6,19.0
7,31.0
8,31.0
9,41.0
10,91.0
11,94.0
12,141.0
13,189.0
14,253.0
15,298.0
16,396.0
17,464.0
18,694.0
19,833.0
20,995.0
21,1120.0
22,1236.0
23,1394.0
24,1654.0
25,1925.0
26,2279.0
27,2631.0
28,2817.0
29,3001.0
30,3308.0
31,3508.0
32,3858.0
33,4091.0
34,4472.0
35,4587.0
36,4822.0
37,5017.0
38,5312.0
39,5569.0
40,5732.0
41,5831.0
42,5991.0
43,6059.0
44,6111.0
45,6216.0
46,6433.0
47,6549.0
48,6606.0
49,6746.0
50,6900.0
51,7033.0
52,7132.0
53,7187.0
54,7273.0
55,7352.0
56,7404.0
57,7445.0
58,7504.0
59,7579.0
60,7682.0
61,7737.0
62,7755.0
63,7781.0
64,7819.0
65,7896.0
66,7974.0
67,8031.0
68,8077.0
69,8095.0
70,8123.0
71,8176.0
72,8221.0
73,8269.0
74,8351.0
75,8406.0
76,8455.0
77,8475.0
78,8586.0
79,8647.0
80,8721.0
81,8754.0
82,8813.0
83,8890.0
84,8955.0
85,9002.0
86,9050.0
87,9086.0
88,9140.0
89,9196.0
90,9230.0
91,9268.0
92,9302.0
