x,y
0,1.0
1,1.0
2,3.0
3,4.0
4,4.0
5,6.0
6,11.0
7,11.0
8,24.0
9,24.0
10,37.0
11,92.0
12,264.0
13,444.0
14,617.0
15,804.0
16,836.0
17,875.0
18,933.0
19,1025.0
20,1116.0
21,1225.0
22,1337.0
23,1420.0
24,1514.0
25,1572.0
26,1718.0
27,1862.0
28,2023.0
29,2200.0
30,2366.0
31,2564.0
32,2755.0
33,3039.0
34,3290.0
35,3573.0
36,3946.0
37,4269.0
38,4561.0
39,4875.0
40,5266.0
41,5597.0
42,5830.0
43,6014.0
44,6191.0
45,6369.0
46,6513.0
47,6706.0
48,6876.0
49,7074.0
50,7268.0
51,7437.0
52,7580.0
53,7711.0
54,7891.0
55,8108.0
56,8271.0
57,8408.0
58,8643.0
59,8773.0
60,8896.0
61,9049.0
62,9206.0
63,9356.0
64,9509.0
65,9605.0
66,9721.0
67,9868.0
68,10019.0
69,10136.0
70,10281.0
71,10416.0
72,10517.0
73,10627.0
74,10711.0
75,10789.0
76,10865.0
77,10911.0
78,10989.0
79,11056.0
80,11125.0
81,11166.0
82,11242.0
83,11315.0
84,11380.0
85,11428.0
86,11487.0
87,11559.0
88,11586.0
89,11627.0
90,11680.0
91,11712.0
92,11793.0
93,11833.0
94,11869.0
95,11899.0
