x,y
0,61.0
1,61.0
2,64.0
3,135.0
4,135.0
5,175.0
6,175.0
7,218.0
8,285.0
9,355.0
10,454.0
11,542.0
12,621.0
13,634.0
14,634.0
15,634.0
16,691.0
17,691.0
18,691.0
19,705.0
20,705.0
21,705.0
22,705.0
23,705.0
24,705.0
25,706.0
26,706.0
27,706.0
28,706.0
29,706.0
30,706.0
31,706.0
32,706.0
33,706.0
34,706.0
35,706.0
36,706.0
37,706.0
38,706.0
39,706.0
40,712.0
41,712.0
42,712.0
43,712.0
44,712.0
45,712.0
46,712.0
47,712.0
48,712.0
49,712.0
50,712.0
51,712.0
52,712.0
53,712.0
54,712.0
55,712.0
56,712.0
57,712.0
58,712.0
59,712.0
60,712.0
61,712.0
62,712.0
63,712.0
64,712.0
65,712.0
66,712.0
67,712.0
68,712.0
69,712.0
70,712.0
71,712.0
72,712.0
73,712.0
74,712.0
75,712.0
76,712.0
77,712.0
78,712.0
79,712.0
80,712.0
81,712.0
82,712.0
83,712.0
84,712.0
85,712.0
86,712.0
87,712.0
88,712.0
89,712.0
90,712.0
91,712.0
92,712.0
93,712.0
94,712.0
95,712.0
96,712.0
97,712.0
98,712.0
99,712.0
100,712.0
101,712.0
102,712.0
103,712.0
104,712.0
105,712.0
106,712.0
107,712.0
108,712.0
109,712.0
110,712.0
111,712.0
112,712.0
113,712.0
114,712.0
115,712.0
