x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,3.0
6,3.0
7,11.0
8,11.0
9,12.0
10,14.0
11,18.0
12,18.0
13,30.0
14,33.0
15,40.0
16,49.0
17,50.0
18,59.0
19,90.0
20,90.0
21,135.0
22,135.0
23,150.0
24,187.0
25,214.0
26,298.0
27,363.0
28,435.0
29,591.0
30,732.0
31,732.0
32,846.0
33,846.0
34,945.0
35,974.0
36,986.0
37,999.0
38,1008.0
39,1023.0
40,1035.0
41,1072.0
42,1077.0
43,1089.0
44,1097.0
45,1112.0
46,1112.0
47,1116.0
48,1120.0
49,1124.0
50,1133.0
51,1135.0
52,1189.0
53,1210.0
54,1227.0
55,1256.0
56,1268.0
57,1284.0
58,1309.0
59,1331.0
60,1401.0
61,1518.0
62,1618.0
63,1828.0
64,2047.0
65,2270.0
66,2270.0
67,2270.0
68,2468.0
69,2468.0
70,2697.0
71,2914.0
72,2914.0
73,3194.0
74,3354.0
75,3569.0
