x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,2.0
6,2.0
7,5.0
8,5.0
9,5.0
10,5.0
11,5.0
12,5.0
13,11.0
14,11.0
15,11.0
16,21.0
17,21.0
18,34.0
19,72.0
20,112.0
21,202.0
22,245.0
23,312.0
24,392.0
25,488.0
26,581.0
27,719.0
28,859.0
29,901.0
30,1109.0
31,1284.0
32,1380.0
33,1488.0
34,1488.0
35,1745.0
36,1828.0
37,1956.0
38,2111.0
39,2349.0
40,2620.0
41,2759.0
42,2967.0
43,3167.0
44,3286.0
45,3614.0
46,3755.0
47,4126.0
48,4335.0
49,4680.0
50,4964.0
51,5044.0
52,5300.0
53,5543.0
54,5749.0
55,5926.0
56,6135.0
57,6293.0
58,6416.0
59,6652.0
60,6972.0
61,7288.0
62,7578.0
63,7954.0
64,8235.0
65,8480.0
66,8807.0
67,9095.0
68,9376.0
69,9882.0
70,10347.0
71,10634.0
72,10900.0
73,11196.0
74,11320.0
75,11739.0
76,12110.0
77,12314.0
78,12725.0
79,13223.0
80,13477.0
81,13657.0
82,13989.0
83,14422.0
84,14801.0
85,15073.0
86,15264.0
87,15723.0
88,16068.0
89,16531.0
90,16908.0
91,17285.0
92,17572.0
