x,y
0,6.0
1,6.0
2,7.0
3,10.0
4,13.0
5,13.0
6,13.0
7,14.0
8,15.0
9,15.0
10,17.0
11,17.0
12,17.0
13,28.0
14,28.0
15,37.0
16,58.0
17,111.0
18,199.0
19,367.0
20,506.0
21,789.0
22,981.0
23,1082.0
24,1173.0
25,1403.0
26,1595.0
27,1823.0
28,1924.0
29,1962.0
30,2240.0
31,2748.0
32,3163.0
33,3368.0
34,3465.0
35,3646.0
36,3747.0
37,3747.0
38,4450.0
39,4965.0
40,7161.0
41,7257.0
42,7466.0
43,7529.0
44,7603.0
45,7858.0
46,8225.0
47,8450.0
48,9022.0
49,9468.0
50,10128.0
51,10398.0
52,10850.0
53,11183.0
54,22719.0
55,22719.0
56,22719.0
57,23240.0
58,24258.0
59,24675.0
60,24934.0
61,26336.0
62,27464.0
63,29538.0
64,31881.0
65,31881.0
66,31881.0
67,30298.0
68,28818.0
69,29071.0
70,29559.0
71,29509.0
72,30419.0
73,30486.0
74,30502.0
75,31467.0
76,32763.0
77,33182.0
78,33582.0
79,34151.0
80,34854.0
81,35306.0
82,35828.0
83,36258.0
84,36756.0
85,37355.0
86,37355.0
87,38103.0
88,38471.0
89,38571.0
90,38571.0
91,39098.0
92,39098.0
