x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,2.0
17,2.0
18,2.0
19,2.0
20,3.0
21,15.0
22,15.0
23,49.0
24,55.0
25,59.0
26,60.0
27,67.0
28,80.0
29,109.0
30,110.0
31,150.0
32,196.0
33,196.0
34,256.0
35,285.0
36,294.0
37,327.0
38,366.0
39,402.0
40,456.0
41,495.0
42,536.0
43,576.0
44,609.0
45,656.0
46,710.0
47,779.0
48,865.0
49,985.0
50,1070.0
51,1173.0
52,1322.0
53,1450.0
54,1560.0
55,1699.0
56,1794.0
57,1939.0
58,2065.0
59,2190.0
60,2350.0
61,2505.0
62,2673.0
63,2844.0
64,3032.0
65,3144.0
66,3333.0
67,3490.0
68,3659.0
69,3891.0
70,4092.0
71,4319.0
72,4534.0
73,4782.0
74,5042.0
75,5268.0
76,5537.0
77,5895.0
78,6193.0
79,6465.0
80,6813.0
81,7201.0
82,7588.0
83,7981.0
84,8476.0
85,8964.0
86,9400.0
87,9746.0
88,10093.0
89,10431.0
90,10829.0
91,11228.0
92,11719.0
93,12229.0
94,12764.0
95,13484.0
96,14229.0
97,15003.0
98,15786.0
99,16513.0
100,17265.0
101,17967.0
102,18756.0
103,19666.0
104,20793.0
105,22082.0
106,23449.0
107,24985.0
108,26384.0
