x,y
0,1.0
1,1.0
2,3.0
3,3.0
4,3.0
5,5.0
6,9.0
7,13.0
8,13.0
9,19.0
10,24.0
11,30.0
12,32.0
13,32.0
14,41.0
15,46.0
16,56.0
17,62.0
18,69.0
19,78.0
20,93.0
21,103.0
22,117.0
23,118.0
24,125.0
25,137.0
26,149.0
27,159.0
28,164.0
29,177.0
30,190.0
31,201.0
32,218.0
33,225.0
34,237.0
35,250.0
36,274.0
37,274.0
38,298.0
39,323.0
40,345.0
41,377.0
42,395.0
43,424.0
44,446.0
45,490.0
46,555.0
47,587.0
48,633.0
49,695.0
50,742.0
51,784.0
52,889.0
53,958.0
54,998.0
55,1037.0
56,1112.0
57,1210.0
58,1265.0
59,1338.0
60,1413.0
61,1498.0
62,1571.0
63,1640.0
64,1725.0
65,1819.0
66,1915.0
67,1983.0
68,2042.0
69,2109.0
70,2194.0
71,2278.0
72,2395.0
73,2517.0
74,2582.0
