x,y
0,1.0
1,1.0
2,1.0
3,4.0
4,6.0
5,6.0
6,6.0
7,6.0
8,9.0
9,9.0
10,9.0
11,12.0
12,12.0
13,12.0
14,12.0
15,12.0
16,12.0
17,15.0
18,15.0
19,16.0
20,16.0
21,16.0
22,16.0
23,16.0
24,18.0
25,18.0
26,18.0
27,18.0
28,21.0
29,21.0
30,41.0
31,51.0
32,51.0
33,79.0
34,79.0
35,79.0
36,79.0
37,83.0
38,84.0
39,84.0
40,214.0
41,258.0
42,258.0
43,258.0
44,315.0
45,315.0
46,315.0
47,315.0
48,315.0
49,315.0
50,315.0
51,315.0
52,439.0
53,439.0
54,439.0
55,439.0
56,439.0
57,439.0
58,439.0
59,522.0
60,583.0
61,594.0
62,594.0
63,594.0
64,719.0
65,825.0
66,890.0
67,903.0
68,960.0
69,960.0
70,960.0
71,1043.0
72,1043.0
73,1043.0
74,1043.0
75,1306.0
76,1306.0
77,1306.0
78,1306.0
