x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,4.0
5,6.0
6,6.0
7,6.0
8,12.0
9,12.0
10,15.0
11,15.0
12,22.0
13,22.0
14,29.0
15,29.0
16,31.0
17,31.0
18,33.0
19,33.0
20,34.0
21,34.0
22,34.0
23,34.0
24,34.0
25,35.0
26,35.0
27,35.0
28,39.0
29,39.0
30,39.0
31,39.0
32,39.0
33,39.0
34,39.0
35,39.0
36,39.0
37,39.0
38,39.0
39,39.0
40,39.0
41,39.0
42,39.0
43,39.0
44,39.0
45,39.0
46,39.0
47,39.0
48,39.0
49,39.0
50,39.0
51,39.0
52,39.0
53,39.0
54,39.0
55,39.0
56,39.0
57,39.0
58,39.0
59,39.0
60,39.0
61,39.0
62,39.0
63,39.0
64,39.0
65,39.0
66,39.0
67,39.0
68,39.0
69,39.0
70,39.0
71,39.0
72,39.0
