x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,2.0
6,2.0
7,3.0
8,10.0
9,10.0
10,10.0
11,10.0
12,12.0
13,16.0
14,16.0
15,79.0
16,115.0
17,171.0
18,205.0
19,225.0
20,258.0
21,267.0
22,283.0
23,306.0
24,326.0
25,352.0
26,369.0
27,404.0
28,538.0
29,575.0
30,645.0
31,679.0
32,715.0
33,745.0
34,779.0
35,858.0
36,961.0
37,1039.0
38,1097.0
39,1108.0
40,1149.0
41,1185.0
42,1207.0
43,1258.0
44,1304.0
45,1309.0
46,1332.0
47,1373.0
48,1400.0
49,1434.0
50,1459.0
51,1512.0
52,1528.0
53,1535.0
54,1552.0
55,1559.0
56,1592.0
57,1605.0
58,1635.0
59,1643.0
60,1647.0
61,1660.0
62,1666.0
63,1689.0
64,1694.0
65,1699.0
66,1700.0
67,1703.0
68,1711.0
69,1713.0
70,1720.0
71,1725.0
72,1733.0
73,1739.0
74,1741.0
75,1746.0
76,1751.0
77,1758.0
78,1766.0
79,1770.0
80,1774.0
81,1784.0
82,1791.0
83,1794.0
84,1800.0
85,1807.0
86,1821.0
87,1823.0
88,1824.0
89,1834.0
90,1840.0
91,1851.0
92,1859.0
93,1865.0
94,1869.0
95,1870.0
