x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,4.0
9,4.0
10,4.0
11,4.0
12,6.0
13,9.0
14,9.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,10.0
24,10.0
25,12.0
26,12.0
27,12.0
28,12.0
29,14.0
30,15.0
31,15.0
32,15.0
33,16.0
34,16.0
35,22.0
36,22.0
37,24.0
38,31.0
39,31.0
40,31.0
41,36.0
42,56.0
43,59.0
44,65.0
45,71.0
46,91.0
47,100.0
48,106.0
49,108.0
50,112.0
51,116.0
52,119.0
53,123.0
54,153.0
55,159.0
56,163.0
57,172.0
58,175.0
59,184.0
60,187.0
61,187.0
62,190.0
63,202.0
64,203.0
65,205.0
66,208.0
67,217.0
68,220.0
69,225.0
70,238.0
71,250.0
72,256.0
73,261.0
74,272.0
75,279.0
76,279.0
77,283.0
78,285.0
79,293.0
