x,y
0,1.0
1,1.0
2,1.0
3,5.0
4,5.0
5,6.0
6,6.0
7,9.0
8,9.0
9,11.0
10,11.0
11,12.0
12,12.0
13,12.0
14,16.0
15,16.0
16,21.0
17,23.0
18,26.0
19,29.0
20,29.0
21,35.0
22,38.0
23,43.0
24,44.0
25,52.0
26,55.0
27,56.0
28,65.0
29,69.0
30,71.0
31,74.0
32,82.0
33,85.0
34,92.0
35,96.0
36,105.0
37,108.0
38,111.0
39,114.0
40,116.0
41,116.0
42,117.0
43,122.0
44,123.0
45,124.0
46,126.0
47,130.0
48,131.0
49,133.0
50,133.0
51,135.0
52,140.0
53,145.0
54,162.0
55,191.0
56,194.0
57,210.0
58,239.0
59,250.0
60,261.0
61,263.0
62,272.0
63,287.0
64,306.0
65,317.0
66,352.0
67,365.0
68,389.0
69,399.0
70,433.0
71,494.0
72,582.0
73,655.0
74,701.0
75,731.0
76,831.0
77,968.0
78,1063.0
79,1172.0
80,1257.0
