x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,2.0
29,2.0
30,2.0
31,3.0
32,6.0
33,6.0
34,6.0
35,6.0
36,12.0
37,15.0
38,15.0
39,23.0
40,30.0
41,40.0
42,59.0
43,59.0
44,155.0
45,225.0
46,244.0
47,277.0
48,321.0
49,336.0
50,400.0
51,450.0
52,523.0
53,626.0
54,700.0
55,792.0
56,880.0
57,958.0
58,1041.0
59,1167.0
60,1240.0
61,1352.0
62,1418.0
63,1446.0
64,1518.0
65,1615.0
66,1882.0
67,1927.0
68,2176.0
69,2308.0
70,2487.0
71,2605.0
72,2769.0
73,2905.0
74,2974.0
75,3064.0
76,3161.0
77,3237.0
78,3369.0
79,3489.0
80,3681.0
81,3783.0
82,3868.0
83,4014.0
84,4129.0
85,4284.0
86,4395.0
87,4475.0
88,4576.0
89,4695.0
90,4740.0
91,4906.0
92,4995.0
93,5051.0
94,5176.0
95,5254.0
96,5327.0
97,5412.0
98,5573.0
99,5673.0
100,5738.0
101,5880.0
102,5962.0
103,5984.0
104,6003.0
105,6054.0
106,6145.0
107,6228.0
108,6286.0
109,6347.0
110,6380.0
111,6399.0
112,6443.0
113,6493.0
114,6537.0
115,6568.0
116,6579.0
117,6599.0
118,6628.0
119,6692.0
120,6743.0
121,6776.0
122,6826.0
123,6859.0
124,6885.0
