x,y
0,2.0
1,3.0
2,3.0
3,3.0
4,4.0
5,5.0
6,5.0
7,5.0
8,6.0
9,6.0
10,6.0
11,6.0
12,6.0
13,6.0
14,6.0
15,11.0
16,11.0
17,11.0
18,11.0
19,11.0
20,11.0
21,11.0
22,12.0
23,12.0
24,12.0
25,12.0
26,12.0
27,12.0
28,12.0
29,12.0
30,12.0
31,12.0
32,14.0
33,18.0
34,38.0
35,57.0
36,100.0
37,130.0
38,191.0
39,204.0
40,288.0
41,380.0
42,656.0
43,959.0
44,1136.0
45,1219.0
46,1794.0
47,2293.0
48,2293.0
49,3681.0
50,4496.0
51,4532.0
52,6683.0
53,7715.0
54,9124.0
55,10970.0
56,12758.0
57,14463.0
58,16243.0
59,20123.0
60,22622.0
61,25600.0
62,29551.0
63,33402.0
64,38105.0
65,40708.0
66,45170.0
67,52827.0
68,57749.0
69,59929.0
70,65202.0
71,69500.0
72,71412.0
73,75343.0
74,79163.0
75,83057.0
76,87366.0
77,91738.0
78,94863.0
79,121712.0
80,125394.0
81,130365.0
82,133585.0
83,146075.0
84,148084.0
85,148086.0
86,153011.0
87,155393.0
88,158168.0
89,155980.0
90,158303.0
91,159952.0
92,161644.0
93,162220.0
94,165963.0
95,169053.0
96,166543.0
97,167299.0
98,167305.0
99,168518.0
100,168925.0
101,169583.0
102,170687.0
103,174224.0
104,174918.0
105,176202.0
106,176782.0
107,177094.0
108,177547.0
109,178349.0
110,178184.0
111,178994.0
112,179630.0
113,179630.0
114,179693.0
115,180051.0
116,180933.0
117,181700.0
118,181951.0
119,182354.0
120,182694.0
121,182709.0
122,183067.0
123,182847.0
124,183038.0
125,186364.0
126,186923.0
127,188752.0
128,189009.0
129,189348.0
