x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,3.0
7,4.0
8,5.0
9,5.0
10,6.0
11,6.0
12,7.0
13,7.0
14,7.0
15,7.0
16,7.0
17,16.0
18,18.0
19,21.0
20,21.0
21,21.0
22,21.0
23,24.0
24,30.0
25,34.0
26,44.0
27,44.0
28,46.0
29,49.0
30,57.0
31,57.0
32,80.0
33,80.0
34,108.0
35,108.0
36,109.0
37,120.0
38,156.0
39,166.0
40,167.0
41,172.0
42,176.0
43,176.0
44,211.0
45,238.0
46,276.0
47,276.0
48,276.0
49,335.0
50,335.0
51,367.0
52,397.0
53,397.0
54,504.0
55,620.0
56,661.0
57,661.0
58,802.0
59,863.0
60,1004.0
61,1104.0
62,1209.0
63,1320.0
64,1320.0
65,1432.0
66,1502.0
67,1567.0
68,1567.0
69,1728.0
70,1934.0
71,1934.0
72,2135.0
73,2238.0
74,2319.0
75,2431.0
76,2613.0
77,2655.0
78,2655.0
79,2655.0
