x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,2.0
7,3.0
8,3.0
9,3.0
10,3.0
11,3.0
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,4.0
19,4.0
20,4.0
21,4.0
22,4.0
23,4.0
24,4.0
25,9.0
26,9.0
27,9.0
28,9.0
29,9.0
30,9.0
31,9.0
32,9.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,10.0
42,10.0
43,10.0
44,11.0
45,12.0
46,17.0
47,17.0
48,17.0
49,17.0
50,17.0
51,18.0
52,20.0
53,20.0
54,20.0
55,22.0
56,22.0
57,23.0
58,23.0
59,23.0
60,23.0
61,23.0
62,24.0
63,24.0
64,24.0
65,24.0
66,25.0
67,25.0
68,25.0
69,25.0
70,25.0
71,25.0
72,25.0
73,25.0
74,25.0
75,25.0
76,25.0
