x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,3.0
5,3.0
6,3.0
7,3.0
8,4.0
9,4.0
10,4.0
11,13.0
12,15.0
13,15.0
14,24.0
15,24.0
16,25.0
17,30.0
18,33.0
19,33.0
20,34.0
21,38.0
22,40.0
23,43.0
24,49.0
25,54.0
26,61.0
27,70.0
28,75.0
29,79.0
30,83.0
31,90.0
32,91.0
33,103.0
34,110.0
35,117.0
36,134.0
37,155.0
38,162.0
39,174.0
40,188.0
41,196.0
42,211.0
43,218.0
44,234.0
45,242.0
46,257.0
47,272.0
48,300.0
49,306.0
50,348.0
51,370.0
52,388.0
53,394.0
54,402.0
55,408.0
56,416.0
57,425.0
58,444.0
59,456.0
60,486.0
61,497.0
62,511.0
63,517.0
64,539.0
65,566.0
66,582.0
67,589.0
68,593.0
69,604.0
70,610.0
71,615.0
72,623.0
73,626.0
74,635.0
75,638.0
76,642.0
77,647.0
78,667.0
79,671.0
80,683.0
81,695.0
82,701.0
83,707.0
84,713.0
85,721.0
86,723.0
87,728.0
88,730.0
89,731.0
90,732.0
91,735.0
92,738.0
93,746.0
94,757.0
95,783.0
96,794.0
