x,y
0,1.0
1,4.0
2,4.0
3,4.0
4,5.0
5,8.0
6,10.0
7,12.0
8,12.0
9,12.0
10,12.0
11,13.0
12,13.0
13,14.0
14,14.0
15,16.0
16,16.0
17,16.0
18,16.0
19,16.0
20,16.0
21,16.0
22,16.0
23,16.0
24,16.0
25,16.0
26,16.0
27,16.0
28,16.0
29,17.0
30,27.0
31,46.0
32,48.0
33,79.0
34,130.0
35,159.0
36,196.0
37,262.0
38,482.0
39,670.0
40,799.0
41,1040.0
42,1176.0
43,1457.0
44,1908.0
45,2078.0
46,3675.0
47,4585.0
48,5795.0
49,7272.0
50,9257.0
51,12327.0
52,15320.0
53,19848.0
54,22213.0
55,24873.0
56,29056.0
57,32986.0
58,37323.0
59,43938.0
60,50871.0
61,57695.0
62,62095.0
63,66885.0
64,71808.0
65,77872.0
66,84794.0
67,91159.0
68,96092.0
69,100123.0
70,103374.0
71,107663.0
72,113296.0
73,118181.0
74,122171.0
75,124908.0
76,127854.0
77,130072.0
78,131359.0
79,134753.0
80,137698.0
81,141397.0
82,143342.0
83,145184.0
84,147065.0
85,148291.0
86,150648.0
87,153129.0
88,154999.0
89,156513.0
90,157770.0
91,158758.0
92,159912.0
93,161539.0
94,163009.0
95,164077.0
96,164967.0
97,165664.0
98,166152.0
99,167007.0
100,168162.0
101,169430.0
102,170588.0
103,171324.0
104,171879.0
105,172576.0
106,173171.0
107,174098.0
108,174478.0
109,175233.0
110,175752.0
111,176369.0
112,176551.0
113,177778.0
114,178473.0
115,179021.0
116,179710.0
117,179986.0
118,180328.0
119,180600.0
120,181200.0
121,181524.0
122,182196.0
123,182922.0
124,183189.0
125,183410.0
126,183594.0
