x,y
0,3.0
1,6.0
2,6.0
3,7.0
4,7.0
5,11.0
6,16.0
7,19.0
8,23.0
9,27.0
10,53.0
11,93.0
12,132.0
13,137.0
14,141.0
15,152.0
16,152.0
17,161.0
18,195.0
19,204.0
20,205.0
21,205.0
22,214.0
23,214.0
24,287.0
25,313.0
26,378.0
27,378.0
28,408.0
29,566.0
30,566.0
31,636.0
32,636.0
33,641.0
34,641.0
35,834.0
36,1042.0
37,1042.0
38,1042.0
39,1154.0
40,1154.0
41,1279.0
42,1279.0
43,1550.0
44,1550.0
45,1671.0
46,1671.0
47,2074.0
48,2074.0
49,2169.0
50,2169.0
51,2719.0
52,2719.0
53,3091.0
54,3091.0
55,4012.0
56,4263.0
57,4263.0
58,4700.0
59,5127.0
60,5408.0
61,5530.0
62,5638.0
63,5735.0
64,5735.0
65,5735.0
66,6096.0
67,6269.0
68,6269.0
69,6486.0
70,6617.0
71,6683.0
72,6808.0
73,7117.0
74,7303.0
75,7303.0
76,7616.0
77,7768.0
78,8070.0
79,8070.0
