x,y
0,1.0
1,3.0
2,4.0
3,4.0
4,7.0
5,7.0
6,7.0
7,9.0
8,31.0
9,45.0
10,46.0
11,73.0
12,73.0
13,89.0
14,99.0
15,99.0
16,190.0
17,228.0
18,331.0
19,331.0
20,387.0
21,418.0
22,418.0
23,495.0
24,530.0
25,624.0
26,695.0
27,743.0
28,821.0
29,892.0
30,966.0
31,1061.0
32,1156.0
33,1212.0
34,1314.0
35,1415.0
36,1544.0
37,1613.0
38,1673.0
39,1735.0
40,1755.0
41,1832.0
42,1884.0
43,1955.0
44,2011.0
45,2081.0
46,2114.0
47,2145.0
48,2170.0
49,2192.0
50,2207.0
51,2224.0
52,2235.0
53,2235.0
54,2245.0
55,2401.0
56,2408.0
57,2463.0
58,2490.0
59,2506.0
60,2517.0
61,2534.0
62,2566.0
63,2576.0
64,2591.0
65,2612.0
66,2620.0
67,2626.0
68,2632.0
69,2642.0
70,2663.0
71,2678.0
72,2691.0
73,2710.0
74,2716.0
75,2726.0
76,2744.0
77,2760.0
78,2770.0
79,2810.0
80,2819.0
81,2834.0
82,2836.0
83,2840.0
84,2850.0
85,2853.0
86,2874.0
87,2876.0
88,2878.0
89,2882.0
90,2892.0
91,2903.0
92,2906.0
93,2909.0
94,2915.0
95,2917.0
96,2918.0
