x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,7.0
5,7.0
6,7.0
7,9.0
8,9.0
9,9.0
10,9.0
11,10.0
12,12.0
13,12.0
14,12.0
15,12.0
16,12.0
17,12.0
18,12.0
19,14.0
20,14.0
21,14.0
22,14.0
23,14.0
24,14.0
25,14.0
26,14.0
27,14.0
28,14.0
29,14.0
30,14.0
31,15.0
32,15.0
33,15.0
34,18.0
35,18.0
36,18.0
37,19.0
38,20.0
39,20.0
40,20.0
41,21.0
42,21.0
43,21.0
44,21.0
45,21.0
46,21.0
47,21.0
48,21.0
49,21.0
50,21.0
51,21.0
52,21.0
53,21.0
54,22.0
55,22.0
56,22.0
57,22.0
58,22.0
59,22.0
60,22.0
61,22.0
62,22.0
63,22.0
64,23.0
65,23.0
66,23.0
67,23.0
68,23.0
69,23.0
70,23.0
71,23.0
